Estadística de Defunciones según la Causa de Muerte
Suicidios. Resultados nacionales
Suicidios por mes de defunción, sexo y edad.
Unidades: suicidios

;Todas las edades;Menores de 15 años;De 15 a 29 años;De 30 a 39 años;De 40 a 44 años;De 45 a 49 años;De 50 a 54 años;De 55 a 59 años;De 60 a 64 años;De 65 a 69 años;De 70 a 74 años;De 75 a 79 años;De 80 a 84 años;De 85 a 89 años;De 90 a 94 años;De 95 años y más;
    Ambos sexos;308.0;0.0;21.0;49.0;32.0;37.0;27.0;23.0;16.0;20.0;18.0;22.0;25.0;9.0;9.0;0.0;
    Hombres;249.0;0.0;17.0;41.0;25.0;31.0;23.0;19.0;9.0;18.0;12.0;18.0;22.0;7.0;7.0;0.0;
    Mujeres;59.0;0.0;4.0;8.0;7.0;6.0;4.0;4.0;7.0;2.0;6.0;4.0;3.0;2.0;2.0;0.0;
julio;
    Ambos sexos;359.0;0.0;31.0;31.0;39.0;40.0;32.0;31.0;25.0;25.0;15.0;30.0;28.0;20.0;11.0;1.0;
    Hombres;272.0;0.0;22.0;27.0;34.0;27.0;25.0;24.0;17.0;16.0;11.0;23.0;22.0;17.0;6.0;1.0;
    Mujeres;87.0;0.0;9.0;4.0;5.0;13.0;7.0;7.0;8.0;9.0;4.0;7.0;6.0;3.0;5.0;0.0;
agosto;
    Ambos sexos;312.0;1.0;16.0;46.0;29.0;29.0;40.0;20.0;28.0;17.0;22.0;19.0;24.0;15.0;4.0;2.0;
    Hombres;236.0;0.0;11.0;37.0;20.0;15.0;34.0;18.0;20.0;13.0;18.0;13.0;20.0;13.0;3.0;1.0;
    Mujeres;76.0;1.0;5.0;9.0;9.0;14.0;6.0;2.0;8.0;4.0;4.0;6.0;4.0;2.0;1.0;1.0;
septiembre;
    Ambos sexos;295.0;0.0;35.0;36.0;28.0;38.0;30.0;27.0;25.0;9.0;8.0;23.0;21.0;14.0;1.0;0.0;
    Hombres;218.0;0.0;23.0;25.0;23.0;29.0;20.0;23.0;20.0;7.0;5.0;16.0;14.0;12.0;1.0;0.0;
    Mujeres;77.0;0.0;12.0;11.0;5.0;9.0;10.0;4.0;5.0;2.0;3.0;7.0;7.0;2.0;0.0;0.0;
octubre;
    Ambos sexos;274.0;1.0;29.0;27.0;39.0;23.0;35.0;19.0;22.0;13.0;13.0;19.0;19.0;8.0;4.0;3.0;
    Hombres;189.0;1.0;17.0;21.0;26.0;17.0;23.0;14.0;14.0;10.0;10.0;12.0;13.0;6.0;3.0;2.0;
    Mujeres;85.0;0.0;12.0;6.0;13.0;6.0;12.0;5.0;8.0;3.0;3.0;7.0;6.0;2.0;1.0;1.0;
noviembre;
    Ambos sexos;235.0;0.0;23.0;27.0;19.0;25.0;27.0;18.0;15.0;18.0;14.0;19.0;16.0;12.0;2.0;0.0;
    Hombres;179.0;0.0;17.0;22.0;11.0;19.0;19.0;17.0;12.0;12.0;9.0;13.0;15.0;11.0;2.0;0.0;
    Mujeres;56.0;0.0;6.0;5.0;8.0;6.0;8.0;1.0;3.0;6.0;5.0;6.0;1.0;1.0;0.0;0.0;
diciembre;
    Ambos sexos;288.0;1.0;17.0;32.0;31.0;31.0;36.0;29.0;28.0;19.0;20.0;17.0;14.0;11.0;2.0;0.0;
    Hombres;207.0;1.0;9.0;28.0;19.0;26.0;23.0;21.0;21.0;12.0;12.0;14.0;11.0;8.0;2.0;0.0;
    Mujeres;81.0;0.0;8.0;4.0;12.0;5.0;13.0;8.0;7.0;7.0;8.0;3.0;3.0;3.0;0.0;0.0;
Notas:
1) Debido a que a partir del año 2013 se ha tenido acceso a los datos del Instituto Anatómico Forense de Madrid, se  ha introducido una mejora metodológica en el proceso de esta estadística, que ha permitido asignar de forma más  precisa la causa de defunción en las muertes con intervención judicial. Como consecuencia, defunciones que estaban  asignadas a causas mal definidas han sido reasignadas a causas externas específicas. Por lo tanto, este hecho debe  ser tenido en cuenta a la hora de realizar comparaciones con años anteriores.

 A partir de los datos de 2014 se ha implantado un codificador automático para el cálculo de la causa básica de defunción.
Fuente: Instituto Nacional de Estadística
