Estadística de Defunciones según la Causa de Muerte
Suicidios. Resultados nacionales
Suicidios por mes de defunción, sexo y edad.
Unidades: suicidios

;Todas las edades;Menores de 15 años;De 15 a 29 años;De 30 a 39 años;De 40 a 44 años;De 45 a 49 años;De 50 a 54 años;De 55 a 59 años;De 60 a 64 años;De 65 a 69 años;De 70 a 74 años;De 75 a 79 años;De 80 a 84 años;De 85 a 89 años;De 90 a 94 años;De 95 años y más;
    Ambos sexos;310.0;0.0;30.0;49.0;29.0;28.0;23.0;32.0;20.0;16.0;14.0;26.0;22.0;13.0;7.0;1.0;
    Hombres;244.0;0.0;20.0;40.0;22.0;26.0;17.0;25.0;17.0;8.0;12.0;21.0;19.0;10.0;6.0;1.0;
    Mujeres;66.0;0.0;10.0;9.0;7.0;2.0;6.0;7.0;3.0;8.0;2.0;5.0;3.0;3.0;1.0;0.0;
julio;
    Ambos sexos;338.0;0.0;28.0;48.0;37.0;31.0;27.0;26.0;22.0;25.0;19.0;33.0;24.0;17.0;1.0;0.0;
    Hombres;255.0;0.0;20.0;36.0;29.0;23.0;19.0;17.0;16.0;17.0;18.0;26.0;22.0;12.0;0.0;0.0;
    Mujeres;83.0;0.0;8.0;12.0;8.0;8.0;8.0;9.0;6.0;8.0;1.0;7.0;2.0;5.0;1.0;0.0;
agosto;
    Ambos sexos;312.0;1.0;27.0;35.0;25.0;27.0;41.0;22.0;18.0;20.0;22.0;23.0;26.0;18.0;7.0;0.0;
    Hombres;240.0;1.0;21.0;29.0;20.0;18.0;27.0;18.0;10.0;13.0;18.0;20.0;23.0;15.0;7.0;0.0;
    Mujeres;72.0;0.0;6.0;6.0;5.0;9.0;14.0;4.0;8.0;7.0;4.0;3.0;3.0;3.0;0.0;0.0;
septiembre;
    Ambos sexos;297.0;0.0;15.0;47.0;30.0;36.0;22.0;28.0;18.0;23.0;22.0;24.0;16.0;10.0;4.0;2.0;
    Hombres;227.0;0.0;14.0;35.0;21.0;32.0;16.0;23.0;13.0;14.0;17.0;19.0;10.0;8.0;4.0;1.0;
    Mujeres;70.0;0.0;1.0;12.0;9.0;4.0;6.0;5.0;5.0;9.0;5.0;5.0;6.0;2.0;0.0;1.0;
octubre;
    Ambos sexos;267.0;0.0;18.0;42.0;31.0;24.0;29.0;16.0;19.0;15.0;17.0;19.0;23.0;10.0;3.0;1.0;
    Hombres;212.0;0.0;15.0;36.0;22.0;19.0;20.0;12.0;16.0;12.0;14.0;17.0;21.0;5.0;2.0;1.0;
    Mujeres;55.0;0.0;3.0;6.0;9.0;5.0;9.0;4.0;3.0;3.0;3.0;2.0;2.0;5.0;1.0;0.0;
noviembre;
    Ambos sexos;250.0;0.0;22.0;37.0;21.0;16.0;26.0;20.0;22.0;15.0;23.0;15.0;20.0;5.0;6.0;2.0;
    Hombres;186.0;0.0;16.0;29.0;17.0;10.0;20.0;17.0;18.0;9.0;15.0;10.0;15.0;2.0;6.0;2.0;
    Mujeres;64.0;0.0;6.0;8.0;4.0;6.0;6.0;3.0;4.0;6.0;8.0;5.0;5.0;3.0;0.0;0.0;
diciembre;
    Ambos sexos;291.0;1.0;25.0;53.0;28.0;37.0;27.0;26.0;18.0;12.0;7.0;29.0;16.0;9.0;2.0;1.0;
    Hombres;215.0;1.0;19.0;42.0;19.0;28.0;18.0;17.0;12.0;10.0;4.0;24.0;13.0;5.0;2.0;1.0;
    Mujeres;76.0;0.0;6.0;11.0;9.0;9.0;9.0;9.0;6.0;2.0;3.0;5.0;3.0;4.0;0.0;0.0;
Notas:
Fuente: Instituto Nacional de Estadística
