Estadística de Defunciones según la Causa de Muerte
Suicidios. Resultados nacionales
Suicidios por mes de defunción, sexo y edad.
Unidades: nº de suicidios

;Todas las edades;Menores de 15 años;De 15 a 29 años;De 30 a 39 años;De 40 a 44 años;De 45 a 49 años;De 50 a 54 años;De 55 a 59 años;De 60 a 64 años;De 65 a 69 años;De 70 a 74 años;De 75 a 79 años;De 80 a 84 años;De 85 a 89 años;De 90 a 94 años;De 95 años y más;
    Mujeres;73.0;2.0;11.0;13.0;9.0;9.0;6.0;1.0;5.0;3.0;3.0;1.0;3.0;5.0;1.0;1.0;
julio;
    Ambos sexos;315.0;0.0;29.0;52.0;29.0;26.0;25.0;25.0;15.0;12.0;27.0;29.0;26.0;17.0;2.0;1.0;
    Varones;246.0;0.0;24.0;42.0;20.0;19.0;20.0;16.0;11.0;9.0;21.0;26.0;19.0;16.0;2.0;1.0;
    Mujeres;69.0;0.0;5.0;10.0;9.0;7.0;5.0;9.0;4.0;3.0;6.0;3.0;7.0;1.0;0.0;0.0;
agosto;
    Ambos sexos;295.0;0.0;35.0;47.0;23.0;28.0;19.0;22.0;21.0;17.0;20.0;24.0;20.0;17.0;2.0;0.0;
    Varones;214.0;0.0;27.0;37.0;19.0;17.0;11.0;16.0;15.0;12.0;15.0;18.0;15.0;11.0;1.0;0.0;
    Mujeres;81.0;0.0;8.0;10.0;4.0;11.0;8.0;6.0;6.0;5.0;5.0;6.0;5.0;6.0;1.0;0.0;
septiembre;
    Ambos sexos;272.0;3.0;19.0;42.0;25.0;28.0;24.0;13.0;21.0;19.0;18.0;29.0;14.0;14.0;3.0;0.0;
    Varones;203.0;2.0;15.0;29.0;19.0;21.0;20.0;11.0;15.0;13.0;12.0;24.0;8.0;12.0;2.0;0.0;
    Mujeres;69.0;1.0;4.0;13.0;6.0;7.0;4.0;2.0;6.0;6.0;6.0;5.0;6.0;2.0;1.0;0.0;
octubre;
    Ambos sexos;249.0;0.0;27.0;33.0;24.0;27.0;21.0;17.0;16.0;17.0;16.0;18.0;19.0;11.0;3.0;0.0;
    Varones;187.0;0.0;22.0;27.0;16.0;23.0;17.0;12.0;12.0;12.0;9.0;10.0;16.0;8.0;3.0;0.0;
    Mujeres;62.0;0.0;5.0;6.0;8.0;4.0;4.0;5.0;4.0;5.0;7.0;8.0;3.0;3.0;0.0;0.0;
noviembre;
    Ambos sexos;237.0;1.0;27.0;41.0;25.0;22.0;16.0;19.0;15.0;8.0;16.0;15.0;22.0;6.0;3.0;1.0;
    Varones;180.0;1.0;20.0;34.0;21.0;17.0;12.0;12.0;12.0;7.0;9.0;11.0;15.0;6.0;2.0;1.0;
    Mujeres;57.0;0.0;7.0;7.0;4.0;5.0;4.0;7.0;3.0;1.0;7.0;4.0;7.0;0.0;1.0;0.0;
diciembre;
    Ambos sexos;233.0;0.0;22.0;42.0;23.0;19.0;14.0;14.0;22.0;16.0;15.0;12.0;19.0;12.0;3.0;0.0;
    Varones;166.0;0.0;16.0;28.0;17.0;14.0;10.0;8.0;12.0;13.0;11.0;9.0;14.0;11.0;3.0;0.0;
    Mujeres;67.0;0.0;6.0;14.0;6.0;5.0;4.0;6.0;10.0;3.0;4.0;3.0;5.0;1.0;0.0;0.0;
Notas:
Fuente: Instituto Nacional de Estadística
