Estadística de Defunciones según la Causa de Muerte
Suicidios. Resultados nacionales
Suicidios por mes de defunción, sexo y edad.
Unidades: suicidios

;Todas las edades;Menores de 15 años;De 15 a 29 años;De 30 a 39 años;De 40 a 44 años;De 45 a 49 años;De 50 a 54 años;De 55 a 59 años;De 60 a 64 años;De 65 a 69 años;De 70 a 74 años;De 75 a 79 años;De 80 a 84 años;De 85 a 89 años;De 90 a 94 años;De 95 años y más;
    Ambos sexos;331.0;1.0;25.0;46.0;33.0;38.0;36.0;27.0;17.0;23.0;19.0;24.0;19.0;17.0;5.0;1.0;
    Hombres;254.0;1.0;20.0;33.0;24.0;32.0;24.0;23.0;17.0;16.0;13.0;17.0;14.0;14.0;5.0;1.0;
    Mujeres;77.0;0.0;5.0;13.0;9.0;6.0;12.0;4.0;0.0;7.0;6.0;7.0;5.0;3.0;0.0;0.0;
junio;
    Ambos sexos;371.0;1.0;28.0;54.0;43.0;42.0;38.0;27.0;26.0;32.0;18.0;24.0;16.0;18.0;4.0;0.0;
    Hombres;291.0;0.0;27.0;41.0;34.0;37.0;34.0;23.0;15.0;22.0;13.0;17.0;12.0;13.0;3.0;0.0;
    Mujeres;80.0;1.0;1.0;13.0;9.0;5.0;4.0;4.0;11.0;10.0;5.0;7.0;4.0;5.0;1.0;0.0;
julio;
    Ambos sexos;342.0;1.0;25.0;30.0;34.0;41.0;49.0;29.0;26.0;19.0;22.0;27.0;16.0;14.0;9.0;0.0;
    Hombres;263.0;1.0;22.0;23.0;21.0;24.0;41.0;25.0;19.0;13.0;19.0;23.0;13.0;12.0;7.0;0.0;
    Mujeres;79.0;0.0;3.0;7.0;13.0;17.0;8.0;4.0;7.0;6.0;3.0;4.0;3.0;2.0;2.0;0.0;
agosto;
    Ambos sexos;354.0;0.0;28.0;43.0;32.0;47.0;49.0;28.0;23.0;19.0;21.0;18.0;18.0;21.0;5.0;2.0;
    Hombres;261.0;0.0;23.0;34.0;27.0;32.0;33.0;20.0;16.0;14.0;13.0;14.0;13.0;17.0;4.0;1.0;
    Mujeres;93.0;0.0;5.0;9.0;5.0;15.0;16.0;8.0;7.0;5.0;8.0;4.0;5.0;4.0;1.0;1.0;
septiembre;
    Ambos sexos;334.0;0.0;31.0;41.0;34.0;40.0;42.0;17.0;21.0;17.0;19.0;20.0;29.0;17.0;6.0;0.0;
    Hombres;247.0;0.0;22.0;31.0;25.0;31.0;31.0;9.0;17.0;10.0;14.0;18.0;23.0;12.0;4.0;0.0;
    Mujeres;87.0;0.0;9.0;10.0;9.0;9.0;11.0;8.0;4.0;7.0;5.0;2.0;6.0;5.0;2.0;0.0;
octubre;
    Ambos sexos;332.0;1.0;18.0;37.0;37.0;46.0;33.0;24.0;28.0;23.0;26.0;21.0;14.0;13.0;9.0;2.0;
    Hombres;236.0;1.0;11.0;29.0;24.0;30.0;26.0;16.0;21.0;15.0;15.0;20.0;12.0;10.0;4.0;2.0;
    Mujeres;96.0;0.0;7.0;8.0;13.0;16.0;7.0;8.0;7.0;8.0;11.0;1.0;2.0;3.0;5.0;0.0;
noviembre;
    Ambos sexos;283.0;0.0;23.0;37.0;37.0;32.0;25.0;24.0;24.0;15.0;13.0;16.0;18.0;17.0;2.0;0.0;
    Hombres;218.0;0.0;17.0;27.0;29.0;23.0;22.0;18.0;13.0;11.0;10.0;16.0;15.0;15.0;2.0;0.0;
    Mujeres;65.0;0.0;6.0;10.0;8.0;9.0;3.0;6.0;11.0;4.0;3.0;0.0;3.0;2.0;0.0;0.0;
diciembre;
    Ambos sexos;275.0;0.0;23.0;45.0;28.0;30.0;31.0;26.0;16.0;13.0;12.0;19.0;15.0;12.0;5.0;0.0;
    Hombres;195.0;0.0;17.0;32.0;20.0;22.0;22.0;19.0;11.0;8.0;9.0;11.0;11.0;10.0;3.0;0.0;
    Mujeres;80.0;0.0;6.0;13.0;8.0;8.0;9.0;7.0;5.0;5.0;3.0;8.0;4.0;2.0;2.0;0.0;
Notas:
1) A partir de los datos de 2014 se ha implantado un codificador automático para el cálculo de la causa básica de defunción.
Fuente: Instituto Nacional de Estadística
