Estadística de Defunciones según la Causa de Muerte
Suicidios. Resultados nacionales
Suicidios por mes de defunción, sexo y edad.
Unidades: nº de suicidios

;Todas las edades;Menores de 15 años;De 15 a 29 años;De 30 a 39 años;De 40 a 44 años;De 45 a 49 años;De 50 a 54 años;De 55 a 59 años;De 60 a 64 años;De 65 a 69 años;De 70 a 74 años;De 75 a 79 años;De 80 a 84 años;De 85 a 89 años;De 90 a 94 años;De 95 años y más;
    Ambos sexos;323.0;1.0;40.0;55.0;25.0;23.0;24.0;21.0;30.0;25.0;19.0;17.0;31.0;11.0;0.0;1.0;
    Varones;245.0;0.0;28.0;44.0;19.0;19.0;16.0;13.0;23.0;19.0;17.0;13.0;23.0;10.0;0.0;1.0;
    Mujeres;78.0;1.0;12.0;11.0;6.0;4.0;8.0;8.0;7.0;6.0;2.0;4.0;8.0;1.0;0.0;0.0;
junio;
    Ambos sexos;305.0;1.0;37.0;46.0;32.0;21.0;22.0;17.0;20.0;23.0;31.0;15.0;20.0;16.0;4.0;0.0;
    Varones;238.0;0.0;31.0;34.0;24.0;17.0;19.0;16.0;14.0;18.0;25.0;12.0;13.0;12.0;3.0;0.0;
    Mujeres;67.0;1.0;6.0;12.0;8.0;4.0;3.0;1.0;6.0;5.0;6.0;3.0;7.0;4.0;1.0;0.0;
julio;
    Ambos sexos;299.0;0.0;41.0;55.0;16.0;33.0;14.0;20.0;16.0;10.0;26.0;26.0;23.0;14.0;3.0;2.0;
    Varones;236.0;0.0;34.0;45.0;15.0;23.0;10.0;17.0;13.0;7.0;19.0;18.0;19.0;11.0;3.0;2.0;
    Mujeres;63.0;0.0;7.0;10.0;1.0;10.0;4.0;3.0;3.0;3.0;7.0;8.0;4.0;3.0;0.0;0.0;
agosto;
    Ambos sexos;302.0;1.0;31.0;38.0;26.0;29.0;18.0;29.0;16.0;20.0;22.0;32.0;32.0;5.0;3.0;0.0;
    Varones;233.0;1.0;28.0;31.0;22.0;20.0;12.0;23.0;10.0;16.0;14.0;25.0;24.0;5.0;2.0;0.0;
    Mujeres;69.0;0.0;3.0;7.0;4.0;9.0;6.0;6.0;6.0;4.0;8.0;7.0;8.0;0.0;1.0;0.0;
septiembre;
    Ambos sexos;284.0;0.0;29.0;41.0;30.0;23.0;14.0;22.0;26.0;20.0;20.0;22.0;20.0;10.0;4.0;3.0;
    Varones;225.0;0.0;22.0;34.0;24.0;22.0;8.0;16.0;21.0;14.0;15.0;18.0;16.0;9.0;3.0;3.0;
    Mujeres;59.0;0.0;7.0;7.0;6.0;1.0;6.0;6.0;5.0;6.0;5.0;4.0;4.0;1.0;1.0;0.0;
octubre;
    Ambos sexos;267.0;0.0;22.0;59.0;23.0;22.0;22.0;13.0;20.0;16.0;20.0;22.0;13.0;10.0;5.0;0.0;
    Varones;213.0;0.0;17.0;51.0;20.0;19.0;15.0;9.0;17.0;14.0;11.0;19.0;10.0;6.0;5.0;0.0;
    Mujeres;54.0;0.0;5.0;8.0;3.0;3.0;7.0;4.0;3.0;2.0;9.0;3.0;3.0;4.0;0.0;0.0;
noviembre;
    Ambos sexos;220.0;0.0;28.0;34.0;23.0;23.0;16.0;19.0;16.0;8.0;14.0;13.0;14.0;7.0;4.0;1.0;
    Varones;167.0;0.0;21.0;24.0;20.0;17.0;13.0;15.0;13.0;6.0;9.0;11.0;10.0;4.0;3.0;1.0;
    Mujeres;53.0;0.0;7.0;10.0;3.0;6.0;3.0;4.0;3.0;2.0;5.0;2.0;4.0;3.0;1.0;0.0;
diciembre;
    Ambos sexos;187.0;1.0;20.0;29.0;18.0;19.0;15.0;7.0;13.0;8.0;20.0;19.0;11.0;6.0;0.0;1.0;
    Varones;139.0;1.0;18.0;23.0;12.0;15.0;11.0;4.0;7.0;5.0;14.0;17.0;7.0;4.0;0.0;1.0;
    Mujeres;48.0;0.0;2.0;6.0;6.0;4.0;4.0;3.0;6.0;3.0;6.0;2.0;4.0;2.0;0.0;0.0;
Notas:
Fuente: Instituto Nacional de Estadística
