Estadística de Defunciones según la Causa de Muerte
Suicidios. Resultados nacionales
Suicidios por mes de defunción, sexo y edad.
Unidades: suicidios

;Todas las edades;Menores de 15 años;De 15 a 29 años;De 30 a 39 años;De 40 a 44 años;De 45 a 49 años;De 50 a 54 años;De 55 a 59 años;De 60 a 64 años;De 65 a 69 años;De 70 a 74 años;De 75 a 79 años;De 80 a 84 años;De 85 a 89 años;De 90 a 94 años;De 95 años y más;
    Mujeres;58.0;0.0;7.0;8.0;9.0;5.0;9.0;7.0;5.0;1.0;3.0;3.0;0.0;1.0;0.0;0.0;
abril;
    Ambos sexos;289.0;1.0;22.0;44.0;36.0;21.0;32.0;20.0;21.0;21.0;19.0;24.0;13.0;13.0;1.0;1.0;
    Hombres;225.0;1.0;17.0;38.0;27.0;15.0;26.0;15.0;17.0;15.0;13.0;18.0;10.0;12.0;0.0;1.0;
    Mujeres;64.0;0.0;5.0;6.0;9.0;6.0;6.0;5.0;4.0;6.0;6.0;6.0;3.0;1.0;1.0;0.0;
mayo;
    Ambos sexos;313.0;1.0;28.0;52.0;24.0;25.0;37.0;31.0;17.0;23.0;19.0;15.0;26.0;11.0;4.0;0.0;
    Hombres;259.0;1.0;22.0;45.0;21.0;22.0;28.0;28.0;14.0;19.0;17.0;10.0;22.0;8.0;2.0;0.0;
    Mujeres;54.0;0.0;6.0;7.0;3.0;3.0;9.0;3.0;3.0;4.0;2.0;5.0;4.0;3.0;2.0;0.0;
junio;
    Ambos sexos;268.0;0.0;17.0;33.0;22.0;29.0;22.0;22.0;20.0;19.0;20.0;24.0;16.0;19.0;4.0;1.0;
    Hombres;213.0;0.0;15.0;30.0;17.0;23.0;15.0;15.0;16.0;13.0;13.0;21.0;14.0;17.0;4.0;0.0;
    Mujeres;55.0;0.0;2.0;3.0;5.0;6.0;7.0;7.0;4.0;6.0;7.0;3.0;2.0;2.0;0.0;1.0;
julio;
    Ambos sexos;280.0;0.0;25.0;52.0;32.0;31.0;22.0;20.0;18.0;10.0;19.0;19.0;18.0;11.0;3.0;0.0;
    Hombres;207.0;0.0;20.0;39.0;24.0;19.0;18.0;15.0;11.0;8.0;13.0;13.0;16.0;9.0;2.0;0.0;
    Mujeres;73.0;0.0;5.0;13.0;8.0;12.0;4.0;5.0;7.0;2.0;6.0;6.0;2.0;2.0;1.0;0.0;
agosto;
    Ambos sexos;273.0;0.0;26.0;46.0;31.0;22.0;21.0;21.0;17.0;15.0;16.0;23.0;14.0;12.0;7.0;2.0;
    Hombres;217.0;0.0;20.0;34.0;24.0;18.0;19.0;17.0;14.0;10.0;14.0;19.0;11.0;11.0;6.0;0.0;
    Mujeres;56.0;0.0;6.0;12.0;7.0;4.0;2.0;4.0;3.0;5.0;2.0;4.0;3.0;1.0;1.0;2.0;
septiembre;
    Ambos sexos;265.0;0.0;23.0;44.0;33.0;20.0;29.0;15.0;19.0;14.0;14.0;19.0;17.0;12.0;5.0;1.0;
    Hombres;199.0;0.0;17.0;33.0;26.0;14.0;26.0;11.0;10.0;12.0;9.0;12.0;14.0;9.0;5.0;1.0;
    Mujeres;66.0;0.0;6.0;11.0;7.0;6.0;3.0;4.0;9.0;2.0;5.0;7.0;3.0;3.0;0.0;0.0;
octubre;
    Ambos sexos;240.0;0.0;12.0;33.0;32.0;22.0;23.0;18.0;16.0;15.0;16.0;17.0;19.0;11.0;6.0;0.0;
    Hombres;184.0;0.0;10.0;27.0;24.0;17.0;18.0;14.0;12.0;10.0;11.0;16.0;14.0;8.0;3.0;0.0;
    Mujeres;56.0;0.0;2.0;6.0;8.0;5.0;5.0;4.0;4.0;5.0;5.0;1.0;5.0;3.0;3.0;0.0;
noviembre;
    Ambos sexos;202.0;1.0;12.0;42.0;22.0;24.0;17.0;13.0;13.0;9.0;8.0;14.0;14.0;9.0;3.0;1.0;
    Hombres;156.0;1.0;11.0;31.0;14.0;20.0;12.0;11.0;11.0;7.0;4.0;13.0;10.0;7.0;3.0;1.0;
    Mujeres;46.0;0.0;1.0;11.0;8.0;4.0;5.0;2.0;2.0;2.0;4.0;1.0;4.0;2.0;0.0;0.0;
diciembre;
    Ambos sexos;238.0;0.0;15.0;40.0;25.0;29.0;20.0;20.0;18.0;16.0;16.0;15.0;12.0;8.0;3.0;1.0;
    Hombres;180.0;0.0;13.0;33.0;14.0;24.0;10.0;16.0;15.0;9.0;14.0;11.0;11.0;6.0;3.0;1.0;
    Mujeres;58.0;0.0;2.0;7.0;11.0;5.0;10.0;4.0;3.0;7.0;2.0;4.0;1.0;2.0;0.0;0.0;
Notas:
Fuente: Instituto Nacional de Estadística
