month_code;month; year;number_of_suicide_news;average_sentiment_result
2011-08-01;08;2011;142;-1.120000
2011-09-01;09;2011;133;-1.620000
2011-10-01;10;2011;138;-1.420000
2011-11-01;11;2011;197;-2.180000
2011-12-01;12;2011;229;-3.930000
2012-01-01;01;2012;205;-3.790000
2012-02-01;02;2012;163;-1.530000
2012-03-01;03;2012;171;-1.820000
2012-04-01;04;2012;189;-2.390000
2012-05-01;05;2012;155;-1.150000
2012-06-01;06;2012;136;-2.130000
2012-07-01;07;2012;125;-1.220000
2012-08-01;08;2012;143;-0.820000
2012-09-01;09;2012;147;-1.410000
2012-10-01;10;2012;178;-1.970000
2012-11-01;11;2012;327;-2.640000
2012-12-01;12;2012;209;-2.420000
2013-01-01;01;2013;150;-1.920000
2013-02-01;02;2013;194;-2.420000
2013-03-01;03;2013;173;-1.730000
2013-04-01;04;2013;182;-2.480000
2013-05-01;05;2013;198;-2.310000
2013-06-01;06;2013;198;-2.120000
2013-07-01;07;2013;122;-1.460000
2013-08-01;08;2013;124;-1.350000
2013-09-01;09;2013;155;-1.150000
2013-10-01;10;2013;139;-1.390000
2013-11-01;11;2013;108;-0.590000
2013-12-01;12;2013;119;-1.170000
2014-01-01;01;2014;138;-1.610000
2014-02-01;02;2014;176;-1.700000
2014-03-01;03;2014;189;-2.230000
2014-04-01;04;2014;145;-1.660000
2014-05-01;05;2014;160;-1.960000
2014-06-01;06;2014;162;-1.490000
2014-07-01;07;2014;144;-1.010000
2014-08-01;08;2014;176;-2.660000
2014-09-01;09;2014;147;-1.890000
2014-10-01;10;2014;146;-1.530000
2014-11-01;11;2014;159;-2.580000
2014-12-01;12;2014;145;-2.820000
2015-01-01;01;2015;160;-1.910000
2015-02-01;02;2015;130;-1.380000
2015-03-01;03;2015;199;-2.480000
2015-04-01;04;2015;178;-1.850000
2015-05-01;05;2015;180;-1.900000
2015-06-01;06;2015;152;-1.130000
2015-07-01;07;2015;195;-2.160000
2015-08-01;08;2015;252;-4.840000
2015-09-01;09;2015;137;-0.850000
2015-10-01;10;2015;201;-1.950000
2015-11-01;11;2015;137;-1.430000
2015-12-01;12;2015;146;-0.710000
2016-01-01;01;2016;191;-2.370000
2016-02-01;02;2016;149;-1.670000
2016-03-01;03;2016;216;-0.600000
2016-04-01;04;2016;168;-1.620000
2016-05-01;05;2016;163;-0.710000
2016-06-01;06;2016;150;-1.230000
2016-07-01;07;2016;161;-1.570000
2016-08-01;08;2016;205;-1.640000
2016-09-01;09;2016;189;-1.690000
2016-10-01;10;2016;179;-1.610000
2016-11-01;11;2016;113;-1.260000
2016-12-01;12;2016;121;-1.600000
2017-01-01;01;2017;148;-1.790000
2017-02-01;02;2017;135;-1.430000
2017-03-01;03;2017;141;-1.770000
2017-04-01;04;2017;154;-2.400000
2017-05-01;05;2017;180;-1.650000
2017-06-01;06;2017;119;-1.350000
2017-07-01;07;2017;194;-2.550000
2017-08-01;08;2017;113;-1.110000
2017-09-01;09;2017;141;-1.680000
2017-10-01;10;2017;147;-2.210000
2017-11-01;11;2017;157;-3.490000
2017-12-01;12;2017;125;-1.240000
2018-01-01;01;2018;155;-2.450000
2018-02-01;02;2018;142;-2.060000
2018-03-01;03;2018;129;-1.720000
2018-04-01;04;2018;124;-0.960000
2018-05-01;05;2018;165;-2.420000
2018-06-01;06;2018;140;-1.700000
2018-07-01;07;2018;152;-2.520000
2018-08-01;08;2018;114;-1.240000
2018-09-01;09;2018;164;-2.610000
2018-10-01;10;2018;162;-2.100000
2018-11-01;11;2018;144;-2.670000
2018-12-01;12;2018;134;-1.160000
2019-01-01;01;2019;132;-1.510000
2019-02-01;02;2019;121;-1.150000
2019-03-01;03;2019;156;-2.590000
2019-04-01;04;2019;186;-2.720000
